Width pixel,Width real,Height pixel,Height real,beta_1_x,beta_0_x,beta_1_y,beta_0_y,pixel_per_matric_x,pixel_per_matric_y
397,0,143,0,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
437,1,158,0,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
477,2,172,0,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
461,2,212,1,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
445,2,251,2,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
406,1,236,2,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
366,0,221,2,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
382,0,182,1,0.0218071033432214,-8.1889681712499,0.0223280561526859,-3.39583605506004,43.0433324466529,41.4833569790344
